湖南 NR 湖 南 O
郴州市 NR 郴 市 O
刘洪杰 NR 刘 杰 O
一 CD 一 一 O
日 M 日 日 O
， PU ， ， O
我 PN 我 我 O
到 VV 到 到 O
民政 NN 民 政 O
部门 NN 部 门 O
办 VV 办 办 O
点 M 点 点 O
事 NN 事 事 O
， PU ， ， O
刚 AD 刚 刚 O
一 CD 一 一 O
坐下 VV 坐 下 O
， PU ， ， O
就 AD 就 就 O
进来 VV 进 来 O
一 CD 一 一 O
位 M 位 位 O
来访 VV 来 访 O
的 DEC 的 的 O
乡下 NN 乡 下 O
老 JJ 老 老 O
人 NN 人 人 O
。 PU 。 。 O
工作 NN 工 作 O
人员 NN 人 员 O
老李 NN 老 李 O
笑吟吟 NN 笑 吟 O
地 NN 地 地 O
招呼 NN 招 呼 O
老人 NN 老 人 O
： PU ： ： O
『 PU 『 『 O
请坐 VV 请 坐 O
！ PU ！ ！ O
』 PU 』 』 O
又 AD 又 又 O
给 P 给 给 O
泡 VV 泡 泡 O
茶 NN 茶 茶 O
递水 VV 递 水 O
， PU ， ， O
尔后 AD 尔 后 O
拿出 VV 拿 出 O
记录 NN 记 录 O
本 AD 本 本 O
向 P 向 向 O
老 JJ 老 老 O
人 NN 人 人 O
询问 VV 询 问 O
起来 VV 起 来 O
。 PU 。 。 O
老人 NN 老 人 O
感动 VV 感 动 O
得 DER 得 得 O
连连 AD 连 连 O
称赞 VV 称 赞 O
： PU ： ： O
『 PU 『 『 O
干部 NN 干 部 O
同志 NN 同 志 O
， PU ， ， O
你 PN 你 你 O
有德 VV 有 德 O
， PU ， ， O
有德 VV 有 德 O
呀 SP 呀 呀 O
！ PU ！ ！ O
』 PU 』 』 O
事后 AD 事 后 O
， PU ， ， O
老李 NN 老 李 O
对 P 对 对 O
『 PU 『 『 O
晾 NN 晾 晾 O
在 P 在 在 O
一 CD 一 一 O
边 NN 边 边 O
』 PU 』 』 O
的 DEC 的 的 O
我 PN 我 我 O
说 VV 说 说 O
： PU ： ： O
『 PU 『 『 O
老百姓 NN 老 姓 O
上来 VV 上 来 O
办 VV 办 办 O
次 M 次 次 O
事 NN 事 事 O
不 AD 不 不 O
易 VA 易 易 O
呀 SP 呀 呀 O
， PU ， ， O
手 NN 手 手 O
上 LC 上 上 O
的 DEG 的 的 O
农活 NN 农 活 O
多 VA 多 多 O
， PU ， ， O
路 NN 路 路 O
又 AD 又 又 O
远 VA 远 远 O
， PU ， ， O
没 VE 没 没 O
要紧 VA 要 紧 O
的 DEC 的 的 O
事 NN 事 事 O
也 AD 也 也 O
不 AD 不 不 O
会 VV 会 会 O
来 VV 来 来 O
。 PU 。 。 O
所以 AD 所 以 O
， PU ， ， O
我们 PN 我 们 O
办事 NN 办 事 O
对 P 对 对 O
老百姓 NN 老 姓 O
优先 VV 优 先 O
呀 SP 呀 呀 O
。 PU 。 。 O
』 PU 』 』 O
这 DT 这 这 O
种 M 种 种 O
服务 NN 服 务 O
群众 NN 群 众 O
之 DEG 之 之 O
举 NN 举 举 O
， PU ， ， O
体现 VV 体 现 O
的 DEC 的 的 O
是 VC 是 是 O
一 CD 一 一 O
种 M 种 种 O
良好 JJ 良 好 O
的 DEG 的 的 O
机关 NN 机 关 O
作风 NN 作 风 O
和 CC 和 和 O
职业 NN 职 业 O
道德 NN 道 德 O
！ PU ！ ！ O
我 PN 我 我 O
在 P 在 在 O
机关 NN 机 关 O
工作 VV 工 作 O
的 DEC 的 的 O
时间 NN 时 间 O
较 AD 较 较 O
长 VA 长 长 O
， PU ， ， O
深 AD 深 深 O
感 VV 感 感 O
近 AD 近 近 O
些 CD 些 些 O
年 M 年 年 O
有 VE 有 有 O
因 P 因 因 O
忽视 NN 忽 视 O
工作 NN 工 作 O
人员 NN 人 员 O
的 DEG 的 的 O
职业 NN 职 业 O
道德 NN 道 德 O
建设 NN 建 设 O
， PU ， ， O
使 VV 使 使 O
一些 CD 一 些 O
人 NN 人 人 O
为 P 为 为 O
人民 NN 人 民 O
服务 VV 服 务 O
的 DEC 的 的 O
思想 NN 思 想 O
淡薄 VA 淡 薄 O
了 SP 了 了 O
， PU ， ， O
出现 VV 出 现 O
怠慢 NN 怠 慢 O
群众 NN 群 众 O
、 PU 、 、 O
让 VV 让 让 O
百姓 NN 百 姓 O
头痛 VA 头 痛 O
的 DEC 的 的 O
『 PU 『 『 O
