本 DT 本 本 O
报 NN 报 报 O
记者 NN 记 者 O
赖仁琼 NR 赖 琼 B-PER
除夕夜 NT 除 夜 O
， PU ， ， O
北京 NR 北 京 B-ORG
东区 NN 东 区 I-ORG
邮局 NN 邮 局 I-ORG
六 OD 六 六 O
楼 NN 楼 楼 O
热闹 VA 热 闹 O
非凡 VA 非 凡 O
， PU ， ， O
局 NN 局 局 O
领导 NN 领 导 O
和 CC 和 和 O
来自 VV 来 自 O
张北 NR 张 北 B-LOC
、 PU 、 、 O
尚义 NR 尚 义 B-LOC
的 DEG 的 的 O
３０多 CD ３ 多 O
名 M 名 名 O
农民工 NN 农 工 O
欢聚一堂 VV 欢 堂 O
。 PU 。 。 O
热气 NN 热 气 O
腾腾 VV 腾 腾 O
的 DEC 的 的 O
饺子 NN 饺 子 O
， PU ， ， O
真挚 AD 真 挚 O
关切 VV 关 切 O
的 DEC 的 的 O
话语 NN 话 语 O
， PU ， ， O
温暖 VA 温 暖 O
着 AS 着 着 O
他们 PN 他 们 O
的 DEG 的 的 O
心 NN 心 心 O
。 PU 。 。 O
这 DT 这 这 O
批 M 批 批 O
张北 NR 张 北 B-LOC
、 PU 、 、 O
尚义 NR 尚 义 B-LOC
的 DEG 的 的 O
农民工 NN 农 工 O
是 VC 是 是 O
两 CD 两 两 O
年 M 年 年 O
前 LC 前 前 O
被 LB 被 被 O
东区 NR 东 区 B-ORG
邮局 NN 邮 局 I-ORG
招来 VV 招 来 O
做 VV 做 做 O
投递员 NN 投 员 O
和 CC 和 和 O
清洁员 NN 清 员 O
的 DEG 的 的 O
， PU ， ， O
１月 NT １ 月 O
１０日 NT １ 日 O
地震 NN 地 震 O
发生 VV 发 生 O
后 LC 后 后 O
， PU ， ， O
东区 NR 东 区 B-ORG
邮局 NN 邮 局 I-ORG
的 DEG 的 的 O
领导 NN 领 导 O
想方 NN 想 方 O
设法 VV 设 法 O
帮助 VV 帮 助 O
他们 PN 他 们 O
与 P 与 与 O
家 NN 家 家 O
中 LC 中 中 O
取得 VV 取 得 O
联系 NN 联 系 O
， PU ， ， O
并 CC 并 并 O
及时 AD 及 时 O
给 P 给 给 O
他们 PN 他 们 O
发放 VV 发 放 O
了 AS 了 了 O
慰问金 NN 慰 金 O
。 PU 。 。 O
邮局 NN 邮 局 O
职工 NN 职 工 O
纷纷 AD 纷 纷 O
捐 VV 捐 捐 O
钱 NN 钱 钱 O
捐物 NN 捐 物 O
， PU ， ， O
使 VV 使 使 O
农民工 NN 农 工 O
深 AD 深 深 O
受 VV 受 受 O
感动 NN 感 动 O
。 PU 。 。 O
慈云寺 NR 慈 寺 B-ORG
支局 NN 支 局 I-ORG
投递员 NN 投 员 O
王飞 NR 王 飞 B-PER
的 DEG 的 的 O
家 NN 家 家 O
在 P 在 在 O
尚义县 NR 尚 县 B-LOC
大 JJ 大 大 B-LOC
营盘乡 NN 营 乡 I-LOC
， PU ， ， O
支局 NN 支 局 O
领导 NN 领 导 O
早 AD 早 早 O
就 AD 就 就 O
催 VV 催 催 O
他 PN 他 他 O
回家 VV 回 家 O
看看 VV 看 看 O
， PU ， ， O
但 AD 但 但 O
王飞 NR 王 飞 B-PER
说 VV 说 说 O
： PU ： ： O
“ PU “ “ O
东区 NR 东 区 B-ORG
邮局 NN 邮 局 I-ORG
捐赠 VV 捐 赠 O
的 DEC 的 的 O
两 CD 两 两 O
大 JJ 大 大 O
车 NN 车 车 O
衣被 NN 衣 被 O
、 PU 、 、 O
食品 NN 食 品 O
