本	DT	本	本	NotInSurnameList	76	O
报	NN	报	报	NotInSurnameList	90	O
记者	NN	记	者	NotInSurnameList	98	O
赖仁琼	NR	赖	琼	InSurnameList	13	B-PER
除夕夜	NT	除	夜	NotInSurnameList	2	O
，	PU	，	，	NotInSurnameList	74	O
北京	NR	北	京	NotInSurnameList	98	B-ORG
东区	NN	东	区	NotInSurnameList	85	I-ORG
邮局	NN	邮	局	NotInSurnameList	82	I-ORG
六	OD	六	六	NotInSurnameList	59	O
楼	NN	楼	楼	NotInSurnameList	37	O
热闹	VA	热	闹	NotInSurnameList	48	O
非凡	VA	非	凡	NotInSurnameList	24	O
，	PU	，	，	NotInSurnameList	74	O
局	NN	局	局	NotInSurnameList	82	O
领导	NN	领	导	NotInSurnameList	26	O
和	CC	和	和	NotInSurnameList	54	O
来自	VV	来	自	InSurnameList	55	O
张北	NR	张	北	InSurnameList	23	B-LOC
、	PU	、	、	NotInSurnameList	54	O
尚义	NR	尚	义	NotInSurnameList	23	B-LOC
的	DEG	的	的	NotInSurnameList	52	O
３０多	CD	３	多	NotInSurnameList	89	O
名	M	名	名	NotInSurnameList	79	O
农民工	NN	农	工	NotInSurnameList	78	O
欢聚一堂	VV	欢	堂	NotInSurnameList	75	O
。	PU	。	。	NotInSurnameList	53	O
热气	NN	热	气	NotInSurnameList	71	O
腾腾	VV	腾	腾	NotInSurnameList	4	O
的	DEC	的	的	NotInSurnameList	52	O
饺子	NN	饺	子	NotInSurnameList	24	O
，	PU	，	，	NotInSurnameList	74	O
真挚	AD	真	挚	NotInSurnameList	46	O
关切	VV	关	切	InSurnameList	47	O
的	DEC	的	的	NotInSurnameList	52	O
话语	NN	话	语	NotInSurnameList	30	O
，	PU	，	，	NotInSurnameList	74	O
温暖	VA	温	暖	InSurnameList	14	O
着	AS	着	着	NotInSurnameList	44	O
他们	PN	他	们	NotInSurnameList	33	O
的	DEG	的	的	NotInSurnameList	52	O
心	NN	心	心	NotInSurnameList	41	O
。	PU	。	。	NotInSurnameList	53	O
这	DT	这	这	NotInSurnameList	68	O
批	M	批	批	NotInSurnameList	65	O
张北	NR	张	北	InSurnameList	23	B-LOC
、	PU	、	、	NotInSurnameList	54	O
尚义	NR	尚	义	NotInSurnameList	23	B-LOC
的	DEG	的	的	NotInSurnameList	52	O
农民工	NN	农	工	NotInSurnameList	78	O
是	VC	是	是	NotInSurnameList	58	O
两	CD	两	两	NotInSurnameList	59	O
年	M	年	年	NotInSurnameList	77	O
前	LC	前	前	NotInSurnameList	67	O
被	LB	被	被	NotInSurnameList	69	O
东区	NR	东	区	NotInSurnameList	85	B-ORG
邮局	NN	邮	局	NotInSurnameList	82	I-ORG
招来	VV	招	来	NotInSurnameList	56	O
做	VV	做	做	NotInSurnameList	48	O
投递员	NN	投	员	NotInSurnameList	41	O
和	CC	和	和	NotInSurnameList	54	O
清洁员	NN	清	员	NotInSurnameList	43	O
的	DEG	的	的	NotInSurnameList	52	O
，	PU	，	，	NotInSurnameList	74	O
１月	NT	１	月	NotInSurnameList	101	O
１０日	NT	１	日	NotInSurnameList	16	O
地震	NN	地	震	NotInSurnameList	23	O
发生	VV	发	生	NotInSurnameList	10	O
后	LC	后	后	NotInSurnameList	67	O
，	PU	，	，	NotInSurnameList	74	O
东区	NR	东	区	NotInSurnameList	85	B-ORG
邮局	NN	邮	局	NotInSurnameList	82	I-ORG
的	DEG	的	的	NotInSurnameList	52	O
领导	NN	领	导	NotInSurnameList	26	O
想方	NN	想	方	NotInSurnameList	64	O
设法	VV	设	法	NotInSurnameList	46	O
帮助	VV	帮	助	NotInSurnameList	32	O
他们	PN	他	们	NotInSurnameList	33	O
与	P	与	与	NotInSurnameList	83	O
家	NN	家	家	NotInSurnameList	77	O
中	LC	中	中	NotInSurnameList	67	O
取得	VV	取	得	NotInSurnameList	64	O
联系	NN	联	系	NotInSurnameList	47	O
，	PU	，	，	NotInSurnameList	74	O
并	CC	并	并	NotInSurnameList	94	O
及时	AD	及	时	NotInSurnameList	46	O
给	P	给	给	NotInSurnameList	69	O
他们	PN	他	们	NotInSurnameList	33	O
发放	VV	发	放	NotInSurnameList	66	O
了	AS	了	了	NotInSurnameList	44	O
慰问金	NN	慰	金	NotInSurnameList	2	O
。	PU	。	。	NotInSurnameList	53	O
邮局	NN	邮	局	NotInSurnameList	82	O
职工	NN	职	工	NotInSurnameList	78	O
纷纷	AD	纷	纷	NotInSurnameList	97	O
捐	VV	捐	捐	NotInSurnameList	61	O
钱	NN	钱	钱	NotInSurnameList	24	O
捐物	NN	捐	物	NotInSurnameList	23	O
，	PU	，	，	NotInSurnameList	74	O
使	VV	使	使	NotInSurnameList	69	O
农民工	NN	农	工	NotInSurnameList	78	O
深	AD	深	深	NotInSurnameList	22	O
受	VV	受	受	NotInSurnameList	69	O
感动	NN	感	动	NotInSurnameList	48	O
。	PU	。	。	NotInSurnameList	53	O
慈云寺	NR	慈	寺	NotInSurnameList	1	B-ORG
支局	NN	支	局	NotInSurnameList	26	I-ORG
投递员	NN	投	员	NotInSurnameList	41	O
王飞	NR	王	飞	InSurnameList	33	B-PER
的	DEG	的	的	NotInSurnameList	52	O
家	NN	家	家	NotInSurnameList	77	O
在	P	在	在	NotInSurnameList	55	O
尚义县	NR	尚	县	NotInSurnameList	31	B-LOC
大	JJ	大	大	NotInSurnameList	84	B-LOC
营盘乡	NN	营	乡	NotInSurnameList	1	I-LOC
，	PU	，	，	NotInSurnameList	74	O
支局	NN	支	局	NotInSurnameList	26	O
领导	NN	领	导	NotInSurnameList	26	O
早	AD	早	早	NotInSurnameList	15	O
就	AD	就	就	NotInSurnameList	87	O
催	VV	催	催	NotInSurnameList	69	O
他	PN	他	他	NotInSurnameList	33	O
回家	VV	回	家	NotInSurnameList	48	O
看看	VV	看	看	NotInSurnameList	48	O
，	PU	，	，	NotInSurnameList	74	O
但	AD	但	但	NotInSurnameList	94	O
王飞	NR	王	飞	InSurnameList	33	B-PER
说	VV	说	说	NotInSurnameList	75	O
：	PU	：	：	NotInSurnameList	57	O
“	PU	“	“	NotInSurnameList	60	O
东区	NR	东	区	NotInSurnameList	85	B-ORG
邮局	NN	邮	局	NotInSurnameList	82	I-ORG
捐赠	VV	捐	赠	NotInSurnameList	23	O
的	DEC	的	的	NotInSurnameList	52	O
两	CD	两	两	NotInSurnameList	59	O
大	JJ	大	大	NotInSurnameList	84	O
车	NN	车	车	NotInSurnameList	37	O
衣被	NN	衣	被	InSurnameList	31	O
、	PU	、	、	NotInSurnameList	54	O
食品	NN	食	品	NotInSurnameList	31	O
１２日	NT	１	日	NotInSurnameList	16	O
就	AD	就	就	NotInSurnameList	87	O
运到	VV	运	到	NotInSurnameList	64	O
了	AS	了	了	NotInSurnameList	44	O
我	PN	我	我	NotInSurnameList	33	O
的	DEG	的	的	NotInSurnameList	52	O
家乡	NN	家	乡	NotInSurnameList	5	O
，	PU	，	，	NotInSurnameList	74	O
节	NN	节	节	NotInSurnameList	37	O
前	LC	前	前	NotInSurnameList	67	O
工作	VV	工	作	NotInSurnameList	88	O
又	AD	又	又	NotInSurnameList	80	O
特	AD	特	特	NotInSurnameList	27	O
忙	VA	忙	忙	NotInSurnameList	10	O
，	PU	，	，	NotInSurnameList	74	O
我	PN	我	我	NotInSurnameList	33	O
节	NN	节	节	NotInSurnameList	37	O
后	LC	后	后	NotInSurnameList	67	O
再	AD	再	再	NotInSurnameList	73	O
回去	VV	回	去	NotInSurnameList	41	O
。	PU	。	。	NotInSurnameList	53	O
”	PU	”	”	NotInSurnameList	35	O
清洁员	NN	清	员	NotInSurnameList	43	O
赵丽萍	NR	赵	萍	InSurnameList	76	B-PER
和	CC	和	和	NotInSurnameList	54	O
杨丽霞	NR	杨	霞	InSurnameList	1	B-PER
的	DEG	的	的	NotInSurnameList	52	O
家	NN	家	家	NotInSurnameList	77	O
都	AD	都	都	NotInSurnameList	80	O
在	AD	在	在	NotInSurnameList	55	O
张北	VV	张	北	InSurnameList	23	B-LOC
。	PU	。	。	NotInSurnameList	53	O
赵丽萍	NR	赵	萍	InSurnameList	76	B-PER
说	VV	说	说	NotInSurnameList	75	O
，	PU	，	，	NotInSurnameList	74	O
邮局	NN	邮	局	NotInSurnameList	82	O
的	DEG	的	的	NotInSurnameList	52	O
领导	NN	领	导	NotInSurnameList	26	O
、	PU	、	、	NotInSurnameList	54	O
职工	NN	职	工	NotInSurnameList	78	O
对	P	对	对	NotInSurnameList	69	O
灾区	NN	灾	区	NotInSurnameList	23	O
人民	NN	人	民	NotInSurnameList	99	O
的	DEG	的	的	NotInSurnameList	52	O
深情	NN	深	情	NotInSurnameList	20	O
，	PU	，	，	NotInSurnameList	74	O
令	VV	令	令	NotInSurnameList	5	O
我们	PN	我	们	NotInSurnameList	33	O
深感	VV	深	感	NotInSurnameList	22	O
社会主义	NN	社	义	NotInSurnameList	81	O
大	JJ	大	大	NotInSurnameList	84	O
家庭	NN	家	庭	NotInSurnameList	40	O
的	DEG	的	的	NotInSurnameList	52	O
温暖	NN	温	暖	InSurnameList	14	O
。	PU	。	。	NotInSurnameList	53	O
我	PN	我	我	NotInSurnameList	33	O
衷心	AD	衷	心	NotInSurnameList	20	O
祝愿	VV	祝	愿	InSurnameList	50	O
家乡	NN	家	乡	NotInSurnameList	5	O
父老	NN	父	老	NotInSurnameList	78	O
在	P	在	在	NotInSurnameList	55	O
北京	NR	北	京	NotInSurnameList	98	B-LOC
和	CC	和	和	NotInSurnameList	54	O
全	DT	全	全	NotInSurnameList	85	O
国	NN	国	国	NotInSurnameList	82	O
人民	NN	人	民	NotInSurnameList	99	O
的	DEG	的	的	NotInSurnameList	52	O
帮助	NN	帮	助	NotInSurnameList	32	O
下	LC	下	下	NotInSurnameList	67	O
早日	AD	早	日	NotInSurnameList	97	O
住进	VV	住	进	NotInSurnameList	56	O
新房	NN	新	房	NotInSurnameList	24	O
。	PU	。	。	NotInSurnameList	53	O
投递员	NN	投	员	NotInSurnameList	41	O
杨殿军	NR	杨	军	InSurnameList	1	B-PER
和	CC	和	和	NotInSurnameList	54	O
张东升	NR	张	升	InSurnameList	1	B-PER
两	CD	两	两	NotInSurnameList	59	O
家	M	家	家	NotInSurnameList	77	O
受灾	NN	受	灾	NotInSurnameList	5	O
较	AD	较	较	NotInSurnameList	63	O
重	VA	重	重	NotInSurnameList	84	O
，	PU	，	，	NotInSurnameList	74	O
房屋	NN	房	屋	InSurnameList	40	O
全	AD	全	全	NotInSurnameList	85	O
被	SB	被	被	NotInSurnameList	69	O
震塌	VV	震	塌	NotInSurnameList	1	O
。	PU	。	。	NotInSurnameList	53	O
今晚	NT	今	晚	NotInSurnameList	15	O
，	PU	，	，	NotInSurnameList	74	O
当	P	当	当	NotInSurnameList	69	O
他	PN	他	他	NotInSurnameList	33	O
俩	CD	俩	俩	NotInSurnameList	48	O
从	P	从	从	NotInSurnameList	55	O
局长	NN	局	长	NotInSurnameList	91	O
和	P	和	和	NotInSurnameList	54	O
工会	NN	工	会	NotInSurnameList	99	O
主席	NN	主	席	NotInSurnameList	19	O
手	NN	手	手	NotInSurnameList	41	O
中	LC	中	中	NotInSurnameList	67	O
接过	VV	接	过	NotInSurnameList	56	O
２０００	CD	２	０	NotInSurnameList	89	O
元	M	元	元	NotInSurnameList	62	O
捐款	NN	捐	款	NotInSurnameList	23	O
时	LC	时	时	NotInSurnameList	67	O
，	PU	，	，	NotInSurnameList	74	O
激动	VV	激	动	NotInSurnameList	84	O
得	DER	得	得	NotInSurnameList	22	O
连声	AD	连	声	InSurnameList	33	O
说	VV	说	说	NotInSurnameList	75	O
：	PU	：	：	NotInSurnameList	57	O
“	PU	“	“	NotInSurnameList	60	O
谢谢	VV	谢	谢	InSurnameList	41	O
，	PU	，	，	NotInSurnameList	74	O
谢谢	VV	谢	谢	InSurnameList	41	O
！	PU	！	！	NotInSurnameList	53	O
”	PU	”	”	NotInSurnameList	35	O
新华社	NR	新	社	NotInSurnameList	90	B-ORG
广州	NR	广	州	NotInSurnameList	71	B-LOC
１月	NT	１	月	NotInSurnameList	101	O
２７日	NT	２	日	NotInSurnameList	16	O
电	NN	电	电	NotInSurnameList	92	O
（	PU	（	（	NotInSurnameList	90	O
记者	NN	记	者	NotInSurnameList	98	O
韩晓光	NR	韩	光	InSurnameList	1	B-PER
）	PU	）	）	NotInSurnameList	91	O
全	DT	全	全	NotInSurnameList	85	B-ORG
国	NN	国	国	NotInSurnameList	82	I-ORG
人大	NN	人	大	NotInSurnameList	99	I-ORG
常委会	NN	常	会	InSurnameList	19	I-ORG
委员长	NN	委	长	NotInSurnameList	91	O
乔石	NR	乔	石	InSurnameList	76	B-PER
日前	NT	日	前	NotInSurnameList	15	O
在	P	在	在	NotInSurnameList	55	O
广州	NR	广	州	NotInSurnameList	71	B-LOC
参观	VV	参	观	NotInSurnameList	8	O
金鹏	NR	金	鹏	InSurnameList	61	B-ORG
电子	NN	电	子	NotInSurnameList	29	I-ORG
信息	NN	信	息	NotInSurnameList	29	I-ORG
机器	NN	机	器	NotInSurnameList	49	I-ORG
有限	JJ	有	限	NotInSurnameList	11	I-ORG
公司	NN	公	司	NotInSurnameList	93	I-ORG
（	PU	（	（	NotInSurnameList	90	O
集团	NN	集	团	NotInSurnameList	93	O
）	PU	）	）	NotInSurnameList	91	O
时	LC	时	时	NotInSurnameList	67	O
强调	VV	强	调	InSurnameList	75	O
，	PU	，	，	NotInSurnameList	74	O
要	VV	要	要	NotInSurnameList	73	O
努力	VV	努	力	NotInSurnameList	50	O
创造	VV	创	造	NotInSurnameList	64	O
